Term,es,nes,pval,sidak,fdr,geneset_size,leading_edge,term
Semaphorin Interactions R-HSA-373755,-0.6777846576628692,-1.8326230376329165,0.0668586497248882,0.9944274034039382,0.43823050519673495,5,"PLXNB1,SEMA6A,SEMA6D,SEMA5A",Semaphorin Interactions R-HSA-373755
Signal Transduction R-HSA-162582,0.380747073330098,1.7969404335398,0.07234507671400126,0.996419167251276,0.43823050519673495,40,"CHRM3,FRS2,PDE2A,GABRB3,MXD4,MATK,ARHGEF17,TAB2,NLK,FOXH1,HSPB1,EIF4B,ARMCX3,FSTL3",Signal Transduction R-HSA-162582
Metabolism Of Carbohydrates R-HSA-71387,0.5329178196694704,1.7174402471983812,0.0858987632737227,0.9988126678191506,0.43823050519673495,10,"PAPSS2,PGAM2,HSPG2",Metabolism Of Carbohydrates R-HSA-71387
Transport Of Small Molecules R-HSA-382551,-0.5176493353522221,-1.6879972024303473,0.09141176596650236,0.9992457190504657,0.43823050519673495,9,"TRPM1,SLC44A2,SLC24A5,TTYH2,ABCB5",Transport Of Small Molecules R-HSA-382551
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",0.5267334946912233,1.6772726693085904,0.09348917444197014,0.9993647062090912,0.43823050519673495,10,"FRS2,ARMCX3","Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
Signaling By Rho GTPases R-HSA-194315,0.5267334946912233,1.6772726693085904,0.09348917444197014,0.9993647062090912,0.43823050519673495,10,"FRS2,ARMCX3",Signaling By Rho GTPases R-HSA-194315
Metabolism R-HSA-1430728,0.329332617426709,1.3440693601339266,0.17892595898986174,0.9999996209695244,0.7892666004160656,45,"TCN1,CHRM3,TM7SF2,MARCKS,HSPG2,TYRP1,ADA,SEPHS2,SDSL,PGAM2,UROS,PAPSS2,SH2D3C,PLD3,PYGL",Metabolism R-HSA-1430728
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,0.5249065935596713,1.3122850214710158,0.18942398409985572,0.9999998556119685,0.7892666004160656,8,"KSR1,FRS2,KITLG,PEBP1,RNF213",Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202
Translation R-HSA-72766,0.5752037540035395,1.210634147615175,0.22603565091912325,0.9999999954910883,0.8922459904702233,5,"SEC11A,EEF1A1",Translation R-HSA-72766
Signaling By Interleukins R-HSA-449147,-0.407348806135492,-1.1741119462157081,0.2403501890841484,0.999999998888249,0.9013132090655566,10,"IRF4,STAT2,TP53,CEBPD",Signaling By Interleukins R-HSA-449147
Membrane Trafficking R-HSA-199991,-0.42106671551858443,-0.9667947858430866,0.3336466315634432,0.99999999999994,0.9951263605096814,8,"STON2,COPZ2,TRAPPC6A,ANK3,STX17",Membrane Trafficking R-HSA-199991
Vesicle-mediated Transport R-HSA-5653656,-0.42106671551858443,-0.9667947858430866,0.3336466315634432,0.99999999999994,0.9951263605096814,8,"STON2,COPZ2,TRAPPC6A,ANK3,STX17",Vesicle-mediated Transport R-HSA-5653656
Immune System R-HSA-168256,-0.16987994502648415,-0.8712473242535995,0.3836191252918142,0.9999999999999998,0.9951263605096814,59,"TRIM2,SLC44A2,TRIM63,TNFRSF14,TP53,P2RX7,HLA-DRB5,IRF4,HLA-DOA,C1R,XAF1,STAT2,CEBPD,HERC6,TRIM22",Immune System R-HSA-168256
Metabolism Of Amino Acids And Derivatives R-HSA-71291,0.4463216496405732,0.8449212393673445,0.3981548149851817,1.0,0.9951263605096814,8,"TYRP1,SEPHS2",Metabolism Of Amino Acids And Derivatives R-HSA-71291
Metabolism Of RNA R-HSA-8953854,0.4970698739204225,0.81783325853976,0.41345240435261155,1.0,0.9951263605096814,5,HSPB1,Metabolism Of RNA R-HSA-8953854
Nervous System Development R-HSA-9675108,-0.2947866205378324,-0.66839674147871,0.5038803749426386,1.0,0.9951263605096814,11,"SEMA6D,SEMA5A,PLXNB1,SEMA6A,ANK3,ENTHD1,PLXNC1",Nervous System Development R-HSA-9675108
Axon Guidance R-HSA-422475,-0.2947866205378324,-0.66839674147871,0.5038803749426386,1.0,0.9951263605096814,11,"SEMA6D,SEMA5A,PLXNB1,SEMA6A,ANK3,ENTHD1,PLXNC1",Axon Guidance R-HSA-422475
Generic Transcription Pathway R-HSA-212436,-0.21470555811467026,-0.6033606426436496,0.546268798618881,1.0,0.9951263605096814,22,"CTSK,TRIM63,TFAP2A,SESN3,TP53,CITED1,MEF2C,MAF,ZNF790,RUNX2",Generic Transcription Pathway R-HSA-212436
RNA Polymerase II Transcription R-HSA-73857,-0.21470555811467026,-0.6033606426436496,0.546268798618881,1.0,0.9951263605096814,22,"CTSK,TRIM63,TFAP2A,SESN3,TP53,CITED1,MEF2C,MAF,ZNF790,RUNX2",RNA Polymerase II Transcription R-HSA-73857
Neutrophil Degranulation R-HSA-6798695,0.3700041807425555,0.601048646112794,0.5478075860730438,1.0,0.9951263605096814,15,"TCN1,DNASE1L1,TMED7-TICAM2,TOM1,AGA,DPP7,EEF1A1,PYGL",Neutrophil Degranulation R-HSA-6798695
Cilium Assembly R-HSA-5617833,0.45274260145347023,0.6001768480206371,0.5483883815306465,1.0,0.9951263605096814,5,"TTC30A,TUBB4A,TUBA1A",Cilium Assembly R-HSA-5617833
Gene Expression (Transcription) R-HSA-74160,-0.20584066441007098,-0.5906813700127564,0.5547339329063363,1.0,0.9951263605096814,23,"CTSK,TRIM63,TFAP2A,SESN3,TP53,CITED1,MEF2C,MAF,ZNF790,RUNX2",Gene Expression (Transcription) R-HSA-74160
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,-0.360225803774722,-0.5681017950635453,0.569965848959094,1.0,0.9951263605096814,7,"HERC6,TRIM63",Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168
Death Receptor Signaling R-HSA-73887,0.4413985106566025,0.5582753836616936,0.5766563516246603,1.0,0.9951263605096814,6,"ARHGEF17,TAB2",Death Receptor Signaling R-HSA-73887
Signaling By GPCR R-HSA-372790,0.37138870049351586,0.5430409173980983,0.5871016304384713,1.0,0.9951263605096814,9,"CHRM3,ARHGEF17",Signaling By GPCR R-HSA-372790
GPCR Downstream Signaling R-HSA-388396,0.37138870049351586,0.5430409173980983,0.5871016304384713,1.0,0.9951263605096814,9,"CHRM3,ARHGEF17",GPCR Downstream Signaling R-HSA-388396
SARS-CoV-2-host Interactions R-HSA-9705683,-0.3903001721575627,-0.5429114280687968,0.5871907871444977,1.0,0.9951263605096814,5,"B2M,VPS39,STAT2,HLA-E",SARS-CoV-2-host Interactions R-HSA-9705683
Transcriptional Regulation By TP53 R-HSA-3700989,-0.3752053439261508,-0.5267456176143046,0.5983702524995205,1.0,0.9951263605096814,6,"SESN3,TP53",Transcriptional Regulation By TP53 R-HSA-3700989
Developmental Biology R-HSA-1266738,0.33244796255868814,0.5250443914749546,0.5995523318294542,1.0,0.9951263605096814,18,"FRS2,TGM1,KRTAP5-2,LCE2A,CLTCL1",Developmental Biology R-HSA-1266738
Adaptive Immune System R-HSA-1280218,-0.19000590751639232,-0.5140526983253461,0.6072151471089826,1.0,0.9951263605096814,20,"CD207,B2M,CTSK,TRIM63,TNFRSF14,HLA-DRB5,HLA-E,HLA-DOA,HERC6,HLA-DQA2",Adaptive Immune System R-HSA-1280218
Extracellular Matrix Organization R-HSA-1474244,-0.26412526526350033,-0.47625789944897035,0.6338906549316108,1.0,0.9951263605096814,10,"COL11A2,EFEMP1,PHYKPL,CTSK",Extracellular Matrix Organization R-HSA-1474244
MHC Class II Antigen Presentation R-HSA-2132295,-0.3598027114551986,-0.47448370182310157,0.6351550175367626,1.0,0.9951263605096814,6,"HLA-DOA,HLA-DRB5,HLA-DQA2,CTSK",MHC Class II Antigen Presentation R-HSA-2132295
Infectious Disease R-HSA-5663205,-0.20163953078828,-0.4737661129657033,0.6356667020243187,1.0,0.9951263605096814,17,"B2M,MC2R,P2RX4,VPS39,P2RX7,HLA-E,STAT2,ST6GALNAC2,CEBPD,EEF2",Infectious Disease R-HSA-5663205
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,-0.24534495310751417,-0.4203847000409247,0.6742044432758212,1.0,0.9951263605096814,10,"CD207,B2M,TRIM63,HLA-E,HERC6",Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169
Metabolism Of Lipids R-HSA-556833,-0.16915360840799493,-0.40439081102804386,0.6859253562932122,1.0,0.9951263605096814,15,"CYP27A1,SPTLC3,SLC44A2",Metabolism Of Lipids R-HSA-556833
Biological Oxidations R-HSA-211859,-0.33766814029656256,-0.3723248984902581,0.7096509627562866,1.0,0.9951263605096814,5,"UGT2B7,GSTK1,GSTA4,CYP27A1",Biological Oxidations R-HSA-211859
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,0.39283095702949744,0.32609804875531284,0.7443501732779871,1.0,0.9951263605096814,5,ALPK1,MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,0.39283095702949744,0.32609804875531284,0.7443501732779871,1.0,0.9951263605096814,5,ALPK1,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,0.39283095702949744,0.32609804875531284,0.7443501732779871,1.0,0.9951263605096814,5,ALPK1,Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164
Hemostasis R-HSA-109582,-0.2986032568135772,-0.30927287209992216,0.7571139650134049,1.0,0.9951263605096814,6,"TP53,ITIH3,P2RX7",Hemostasis R-HSA-109582
Sphingolipid Metabolism R-HSA-428157,-0.30851018792578633,-0.2990734488337385,0.7648840044065732,1.0,0.9951263605096814,5,"CERS4,SPTLC3",Sphingolipid Metabolism R-HSA-428157
SARS-CoV-2 Infection R-HSA-9694516,-0.21197760508312327,-0.2705833124080132,0.786711531959388,1.0,0.9951263605096814,8,"B2M,VPS39,HLA-E,STAT2,ST6GALNAC2",SARS-CoV-2 Infection R-HSA-9694516
SARS-CoV Infections R-HSA-9679506,-0.21197760508312327,-0.2705833124080132,0.786711531959388,1.0,0.9951263605096814,8,"B2M,VPS39,HLA-E,STAT2,ST6GALNAC2",SARS-CoV Infections R-HSA-9679506
Sensory Perception R-HSA-9709957,0.3746448257372661,0.250189300413186,0.8024409592304478,1.0,0.9951263605096814,6,"OR7C1,HSPG2",Sensory Perception R-HSA-9709957
Intracellular Signaling By Second Messengers R-HSA-9006925,0.37193316687330835,0.2398464486777092,0.8104492968849708,1.0,0.9951263605096814,5,,Intracellular Signaling By Second Messengers R-HSA-9006925
PIP3 Activates AKT Signaling R-HSA-1257604,0.37193316687330835,0.2398464486777092,0.8104492968849708,1.0,0.9951263605096814,5,,PIP3 Activates AKT Signaling R-HSA-1257604
Degradation Of Extracellular Matrix R-HSA-1474228,-0.22070522274076107,-0.20545655981978986,0.8372154343153237,1.0,0.9951263605096814,6,"PHYKPL,CTSK",Degradation Of Extracellular Matrix R-HSA-1474228
Diseases Of Glycosylation R-HSA-3781865,0.33014096494705475,0.19623751588249772,0.844424265446168,1.0,0.9951263605096814,8,PAPSS2,Diseases Of Glycosylation R-HSA-3781865
Phospholipid Metabolism R-HSA-1483257,-0.22255639097744304,-0.1789345820541498,0.8579890684202551,1.0,0.9951263605096814,5,"LPGAT1,SLC44A2,PLD3,SH2D3C,ETNK2",Phospholipid Metabolism R-HSA-1483257
Glycerophospholipid Biosynthesis R-HSA-1483206,-0.22255639097744304,-0.1789345820541498,0.8579890684202551,1.0,0.9951263605096814,5,"LPGAT1,SLC44A2,PLD3,SH2D3C,ETNK2",Glycerophospholipid Biosynthesis R-HSA-1483206
Innate Immune System R-HSA-168249,0.25149569887877754,0.14048345118778427,0.8882780268627772,1.0,0.9951263605096814,28,"TCN1,DNASE1L1,TMED7-TICAM2,TOM1,TAB2,AGA,ALPK1,DPP7,EEF1A1,PLD3,PYGL,TXNIP",Innate Immune System R-HSA-168249
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,0.34692086956792023,0.13959556019805258,0.888979548721982,1.0,0.9951263605096814,6,ALPK1,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,0.34692086956792023,0.13959556019805258,0.888979548721982,1.0,0.9951263605096814,6,ALPK1,MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155
MyD88-independent TLR4 Cascade R-HSA-166166,0.34692086956792023,0.13959556019805258,0.888979548721982,1.0,0.9951263605096814,6,ALPK1,MyD88-independent TLR4 Cascade R-HSA-166166
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,0.34692086956792023,0.13959556019805258,0.888979548721982,1.0,0.9951263605096814,6,ALPK1,Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,0.34692086956792023,0.13959556019805258,0.888979548721982,1.0,0.9951263605096814,6,ALPK1,Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,0.34692086956792023,0.13959556019805258,0.888979548721982,1.0,0.9951263605096814,6,ALPK1,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138
Organelle Biogenesis And Maintenance R-HSA-1852241,0.3294347115525745,0.0772348444899224,0.9384367225291594,1.0,1.0,6,"TTC30A,TUBB4A,TUBA1A",Organelle Biogenesis And Maintenance R-HSA-1852241
Diseases Of Metabolism R-HSA-5668914,0.14225968383219895,-0.0,1.0,1.0,1.0,14,"PAPSS2,HSPG2",Diseases Of Metabolism R-HSA-5668914
Disease R-HSA-1643685,0.14578506034851185,-0.0,1.0,1.0,1.0,40,"KSR1,FRS2,TAF12,KITLG,HEXA,KIT,HSPG2,ADA,TAB2,PEBP1,PAPSS2,PARP9,RNF213,TXNIP",Disease R-HSA-1643685
Cellular Responses To Stimuli R-HSA-8953897,0.2617888500517243,-0.0,1.0,1.0,1.0,9,"FNIP1,WDR59,EEF1A1,TXNIP",Cellular Responses To Stimuli R-HSA-8953897
Cellular Responses To Stress R-HSA-2262752,0.2617888500517243,-0.0,1.0,1.0,1.0,9,"FNIP1,WDR59,EEF1A1,TXNIP",Cellular Responses To Stress R-HSA-2262752
Post-translational Protein Modification R-HSA-597592,0.18244247284484744,-0.0,1.0,1.0,1.0,31,"RAB40B,EEF1A1,FSTL3",Post-translational Protein Modification R-HSA-597592
Metabolism Of Proteins R-HSA-392499,0.20794391458337982,-0.0,1.0,1.0,1.0,38,"RAB40B,RAB26,MITF,HSPG2,TUBA1A,TUBB4A,SUMF2,FEM1C,EEF1A1,OTUD7B,EIF4B,SEC11A,FSTL3",Metabolism Of Proteins R-HSA-392499
Toll-like Receptor Cascades R-HSA-168898,0.2774162684758741,-0.0,1.0,1.0,1.0,7,ALPK1,Toll-like Receptor Cascades R-HSA-168898
