term.id,query.number,significant,p.value,term.size,query.size,overlap.size,recall,precision,term.id,domain,subgraph.number,term.name,relative.depth,intersection
KEGG:05140,1,True,0.000237,70,125,9,0.072,0.129,KEGG:05140,keg,22,   Leishmaniasis,1,"C3,JUN,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:04145,1,True,0.00391,148,125,11,0.088,0.074,KEGG:04145,keg,26,   Phagosome,1,"TUBB4A,C3,C1R,TUBA1A,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05332,1,True,0.000223,37,125,7,0.056,0.189,KEGG:05332,keg,5,   Graft-versus-host disease,1,"HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05323,1,True,0.00937,86,125,8,0.064,0.093,KEGG:05323,keg,23,   Rheumatoid arthritis,1,"JUN,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:04640,1,True,0.0175,94,125,8,0.064,0.085,KEGG:04640,keg,15,   Hematopoietic cell lineage,1,"IL11RA,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:04658,1,True,0.00192,90,125,9,0.072,0.1,KEGG:04658,keg,6,   Th1 and Th2 cell differentiation,1,"JUN,MAF,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05164,1,True,0.00275,169,125,12,0.096,0.071,KEGG:05164,keg,17,   Influenza A,1,"OAS2,NLRX1,STAT2,JUN,HLA-DQB1,CIITA,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05150,1,True,1.22e-06,52,125,10,0.08,0.192,KEGG:05150,keg,21,   Staphylococcus aureus infection,1,"C3,C1R,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,CFI,HLA-DQA2,HLA-DMB"
KEGG:05330,1,True,0.00015,35,125,7,0.056,0.2,KEGG:05330,keg,25,   Allograft rejection,1,"HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05320,1,True,0.0018,50,125,7,0.056,0.14,KEGG:05320,keg,10,   Autoimmune thyroid disease,1,"HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:04612,1,True,0.000209,69,125,9,0.072,0.13,KEGG:04612,keg,7,   Antigen processing and presentation,1,"RFX5,HLA-DQB1,CIITA,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05321,1,True,8.38e-06,63,125,10,0.08,0.159,KEGG:05321,keg,3,   Inflammatory bowel disease (IBD),1,"IL21R,JUN,MAF,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:04659,1,True,0.00103,105,125,10,0.08,0.095,KEGG:04659,keg,12,   Th17 cell differentiation,1,"IL21R,IRF4,JUN,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:04940,1,True,0.000461,41,125,7,0.056,0.171,KEGG:04940,keg,24,   Type I diabetes mellitus,1,"HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05168,1,True,0.00126,183,125,13,0.104,0.071,KEGG:05168,keg,27,   Herpes simplex infection,1,"OAS2,C3,TP53,TNFRSF14,STAT2,JUN,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:04672,1,True,0.00102,46,125,7,0.056,0.152,KEGG:04672,keg,8,   Intestinal immune network for IgA production,1,"HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05322,1,True,0.0335,130,125,9,0.072,0.069,KEGG:05322,keg,16,   Systemic lupus erythematosus,1,"C3,C1R,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05310,1,True,2.92e-05,28,125,7,0.056,0.25,KEGG:05310,keg,14,   Asthma,1,"HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05152,1,True,0.00388,175,125,12,0.096,0.069,KEGG:05152,keg,13,   Tuberculosis,1,"CTSD,C3,ITGAX,RFX5,HLA-DQB1,CIITA,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
KEGG:05416,1,True,3.38e-05,56,125,9,0.072,0.161,KEGG:05416,keg,4,   Viral myocarditis,1,"MYH7,SGCD,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
MIRNA:hsa-miR-335-5p,1,True,2.1e-06,2551,230,76,0.33,0.03,MIRNA:hsa-miR-335-5p,mir,1,   hsa-miR-335-5p,1,"COL9A2,CHI3L2,GSDMB,AVP,MAP1LC3A,GATA1,MAGED2,IL21R,CLIP3,SCN1B,GIMAP2,SEPT4,VAT1,TRIM2,OAS2,MGP,PCDHB15,NPHS2,RPE65,CTSD,KLF9,SLC17A5,OPTN,MXD4,RUNX2,HSD17B3,TRIM22,XAF1,P2RX4,VILL,HSPG2,LHX9,LYST,TRPM8,ADAMTS16,PNRC1,TMEM140,SESN3,RBM46,GUCY1A2,TRIM63,TPPP3,GBP2,PBXIP1,PRICKLE2,SCRG1,SLFN5,ZNF83,SCARA5,PHYHIP,LRP1B,MN1,ZEB2,STAT2,SGCD,SLCO4C1,CTSF,YPEL2,ORAI3,JAKMIP2,CIITA,ZBTB20,UNC5C,CEND1,MUC1,LSAMP,OLFML2A,PLCD1,FOXD3,HLA-DRB5,SHISA4,HLA-DMA,CFI,CRYGS,HBE1,TXNIP"
REAC:R-HSA-2132295,1,True,0.00731,105,153,9,0.059,0.086,REAC:R-HSA-2132295,rea,18,   MHC class II antigen presentation,1,"CTSD,CTSF,HLA-DQB1,HLA-DRB5,HLA-DOA,HLA-DMA,HLA-DRA,HLA-DQA2,HLA-DMB"
REAC:R-HSA-913531,1,True,0.00907,195,153,12,0.078,0.062,REAC:R-HSA-913531,rea,2,   Interferon Signaling,1,"TRIM2,OAS2,TRIM22,XAF1,IRF4,GBP2,STAT2,HLA-DQB1,CIITA,HLA-DRB5,HLA-DRA,HLA-DQA2"
REAC:R-HSA-877300,1,True,0.00023,90,153,10,0.065,0.111,REAC:R-HSA-877300,rea,2,    Interferon gamma signaling,2,"TRIM2,OAS2,TRIM22,IRF4,GBP2,HLA-DQB1,CIITA,HLA-DRB5,HLA-DRA,HLA-DQA2"
