Term,es,nes,pval,sidak,fdr,geneset_size,leading_edge,term
Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815,-0.6895616929317582,-2.428473258833539,0.015162543222823066,0.9999673080232973,0.48446976635939126,8,"UBB,PSMB7,PSMD8,CCND1,GSK3B,PSMA7",Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,-0.6895518134950243,-2.4284233890855447,0.015164628585077056,0.9999673547854502,0.48446976635939126,8,"CKS1B,UBB,PSMB7,PSMD8,CCND1,PSMA7",SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577
HIV Infection R-HSA-162906,-0.44847902311479887,-2.3655285158283723,0.018004356715991987,0.9999953648559247,0.48446976635939126,31,"HMGA1,UBB,KPNB1,RANBP1,POLR2F,AP2S1,FURIN,PSMB7,POLR2I,POLR2J,PSMD8,SSRP1,POLR2D,PPIA,TAF10,RAN,AP1S1,PSMA7",HIV Infection R-HSA-162906
Regulation Of RUNX3 Expression And Activity R-HSA-8941858,-0.6749204710381725,-2.3543409458794353,0.01855558284602643,0.9999968288321426,0.48446976635939126,8,"UBB,PSMB7,PSMD8,SMURF2,PSMA7",Regulation Of RUNX3 Expression And Activity R-HSA-8941858
Signaling By B Cell Receptor (BCR) R-HSA-983705,-0.5680959348579055,-2.331832290602423,0.01970951559714762,0.999998568352791,0.48446976635939126,14,"FKBP1A,UBB,ITPR3,PSMB7,PSMD8,CALM1,SH3KBP1,PPIA,PSMA7",Signaling By B Cell Receptor (BCR) R-HSA-983705
Separation Of Sister Chromatids R-HSA-2467813,-0.419282985301446,-2.325826391181529,0.020027814137342448,0.9999988505379381,0.48446976635939126,35,"AURKB,UBE2C,CENPN,NUDC,PSMA7,CDC20,UBB,SPC25,UBE2S,CDCA8,CDCA5,CENPF,ESPL1,CENPM,PSMB7,PLK1,PSMD8,DYNLL1,RCC2,ZWINT,PPP2CB,KIF2C,BIRC5",Separation Of Sister Chromatids R-HSA-2467813
GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,-0.6677473437280181,-2.3178603853651865,0.020456910017685015,0.9999991450974126,0.48446976635939126,8,"UBB,PSMB7,PSMD8,GSK3B,PSMA7",GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785
Degradation Of GLI2 By Proteasome R-HSA-5610783,-0.6677473437280181,-2.3178603853651865,0.020456910017685015,0.9999991450974126,0.48446976635939126,8,"UBB,PSMB7,PSMD8,GSK3B,PSMA7",Degradation Of GLI2 By Proteasome R-HSA-5610783
"Cell Cycle, Mitotic R-HSA-69278",-0.2773622099562248,-2.2997312477541616,0.02146345065995714,0.9999995733351081,0.48446976635939126,101,"CEP41,MZT1,AURKB,UBE2C,RFC2,CENPN,PHLDA1,NUDC,CCND1,YWHAG,PSMA7,CDC20,UBB,SPC25,CTDNEP1,CSNK2B,CDKN2D,CDCA8,TFDP1,SSNA1,UBE2S,CDC25B,CDCA5,MCM7,CENPF,ESPL1,TPX2,UBE2I,CKS1B,TUBA1C,TOP2A,CENPM,CCND3,TUBB4B,PSMB7,TUBA1B,PSMD8,GSK3B,PLK1,RAB1B,TUBB,NCAPD2,DYNLL1,RAN,ZWINT,RCC2,PPP2CB,GTSE1,TMPO,KPNB1,KIF2C,MZT2A,RRM2,RPA3,AURKA,BIRC5,CDT1,TUBG1,MZT2B","Cell Cycle, Mitotic R-HSA-69278"
Mitotic Anaphase R-HSA-68882,-0.37884896943415564,-2.296681473086421,0.021636947095826864,0.9999996215317576,0.48446976635939126,48,"AURKB,UBE2C,CENPN,CDK1,NUDC,PSMA7,CDC20,UBB,SPC25,UBE2S,CDCA8,CDCA5,CENPF,ESPL1,UBE2I,TUBA1C,CENPM,TUBB4B,PSMB7,TUBA1B,PLK1,PSMD8,TUBB,DYNLL1,RAN,ZWINT,RCC2,PPP2CB,TMPO,KPNB1,KIF2C,BIRC5",Mitotic Anaphase R-HSA-68882
Mitotic Metaphase And Anaphase R-HSA-2555396,-0.37884896943415564,-2.296681473086421,0.021636947095826864,0.9999996215317576,0.48446976635939126,48,"AURKB,UBE2C,CENPN,CDK1,NUDC,PSMA7,CDC20,UBB,SPC25,UBE2S,CDCA8,CDCA5,CENPF,ESPL1,UBE2I,TUBA1C,CENPM,TUBB4B,PSMB7,TUBA1B,PLK1,PSMD8,TUBB,DYNLL1,RAN,ZWINT,RCC2,PPP2CB,TMPO,KPNB1,KIF2C,BIRC5",Mitotic Metaphase And Anaphase R-HSA-2555396
Regulation Of RAS By GAPs R-HSA-5658442,-0.6007630915042923,-2.2953329312875486,0.021714051744548435,0.999999641167895,0.48446976635939126,10,"UBB,PSMB7,RASA3,PSMD8,SPRED2,PSMA7",Regulation Of RAS By GAPs R-HSA-5658442
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,-0.6578502091012939,-2.26735902368621,0.023368302515340833,0.9999998857039164,0.48446976635939126,8,"PSMD8,UBB,PSMB7,PSMA7",RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236
Cell Cycle R-HSA-1640170,-0.23563045768750648,-2.266778577126929,0.023403755447768848,0.9999998884746155,0.48446976635939126,126,"CEP41,MZT1,AURKB,UBE2C,RFC2,CENPN,PHLDA1,POLR2I,NUDC,CCND1,YWHAG,POLR2D,CENPW,PSMA7,CDC20,UBB,CTDNEP1,CSNK2B,CDKN2D,HJURP,CDCA8,TFDP1,SSNA1,UBE2S,CDC25B,CDCA5,MCM7,CENPF,NHP2,ESPL1,TPX2,UBE2I,CKS1B,TUBA1C,TOP2A,CENPM,CCND3,TUBB4B,YWHAZ,PSMB7,TUBA1B,PSMD8,GSK3B,PLK1,RAB1B,TUBB,NCAPD2,DYNLL1,NOP10,RAN,ZWINT,RCC2,PPP2CB,GTSE1,TMPO,KPNB1,CHEK1,POLR2F,KIF2C,MZT2A,RRM2,RPA3,AURKA,BIRC5,CDT1,POLR2J,TUBG1,MZT2B",Cell Cycle R-HSA-1640170
Mitotic Spindle Checkpoint R-HSA-69618,-0.4274606471038598,-2.2549335028208213,0.02413750301532014,0.9999999329015323,0.48446976635939126,25,"CDC20,CENPM,SPC25,KIF2C,AURKB,UBE2C,CENPN,UBE2S,CDCA8,NUDC,PLK1,BIRC5,DYNLL1,CENPF,RCC2,ZWINT,PPP2CB",Mitotic Spindle Checkpoint R-HSA-69618
EGFR Downregulation R-HSA-182971,-0.5997312754716221,-2.2537132620822544,0.024214212502228216,0.9999999363740835,0.48446976635939126,9,"SPRY1,TGFA,PTPN12,SH3KBP1,SPRY2",EGFR Downregulation R-HSA-182971
Glycosaminoglycan Metabolism R-HSA-1630316,0.6434020544773207,2.247321284345963,0.024619501575279035,0.9999999519525811,0.48446976635939126,10,"SDC1,CHST11,CSGALNACT1,CHPF,SDC3,CHST2,CHSY1",Glycosaminoglycan Metabolism R-HSA-1630316
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,-0.5849814878956402,-2.2460129605286694,0.024703177761592032,0.9999999546598446,0.48446976635939126,11,"UBB,LEF1,PSMB7,PSMD8,GSK3B,CTBP1,PPP2CB,PSMA7",Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,-0.588686688182755,-2.22915033096287,0.0258039040369209,0.9999999788672438,0.48446976635939126,10,"UBB,UBE2C,PSMB7,UBE2S,PSMD8,PSMA7",CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017
Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,-0.588686688182755,-2.22915033096287,0.0258039040369209,0.9999999788672438,0.48446976635939126,10,"UBB,UBE2C,PSMB7,UBE2S,PSMD8,PSMA7",Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084
SARS-CoV-1 Infection R-HSA-9678108,-0.7067772683044133,-2.2289868930928662,0.02581477687903888,0.9999999790260855,0.48446976635939126,7,"UBB,CTSL,GSK3B,GANAB,UBE2I",SARS-CoV-1 Infection R-HSA-9678108
RHO GTPases Activate Formins R-HSA-5663220,-0.4215849824046556,-2.216219311824628,0.026676485904263636,0.999999988468717,0.48446976635939126,25,"CDC20,CENPM,SPC25,KIF2C,AURKB,PFN1,CENPN,CDCA8,NUDC,PLK1,BIRC5,RHOC,DYNLL1,CENPF,RCC2,ZWINT,PPP2CB",RHO GTPases Activate Formins R-HSA-5663220
RAF/MAP Kinase Cascade R-HSA-5673001,-0.42805477659128677,-2.1878497231895135,0.028680550572809826,0.999999997137342,0.48446976635939126,26,"UBB,DUSP6,ITGB3,TGFA,BCL2L1,PSMB7,RASA3,PSMD8,SHC1,CALM1,ABHD17C,PPP2CB,DUSP4,SPRED2,ABHD17A,PSMA7",RAF/MAP Kinase Cascade R-HSA-5673001
Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,-0.4340838713861887,-2.1565487723851997,0.031040839693663447,0.9999999994472871,0.48446976635939126,21,"CDC20,CENPM,SPC25,KIF2C,AURKB,CENPN,CDCA8,NUDC,PLK1,BIRC5,DYNLL1,CENPF,RCC2,ZWINT,PPP2CB",Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444
EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,-0.43408387138618865,-2.1565487723851966,0.03104083969366367,0.9999999994472871,0.48446976635939126,21,"CDC20,CENPM,SPC25,KIF2C,AURKB,CENPN,CDCA8,NUDC,PLK1,BIRC5,DYNLL1,CENPF,RCC2,ZWINT,PPP2CB",EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025
Diseases Of Glycosylation R-HSA-3781865,0.6292217942402681,2.1496509568922133,0.03158283448268406,0.999999999621352,0.48446976635939126,9,"SDC1,GALE,SDC3",Diseases Of Glycosylation R-HSA-3781865
FCERI Mediated NF-kB Activation R-HSA-2871837,-0.681704641077926,-2.1084281054147977,0.0349939754817552,0.9999999999651424,0.48446976635939126,7,"UBB,PSMB7,PSMD8,CDC34,PSMA7",FCERI Mediated NF-kB Activation R-HSA-2871837
Downstream TCR Signaling R-HSA-202424,-0.681704641077926,-2.1084281054147977,0.0349939754817552,0.9999999999651424,0.48446976635939126,7,"UBB,PSMB7,PSMD8,CDC34,PSMA7",Downstream TCR Signaling R-HSA-202424
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,-0.6817005190460174,-2.10840820565282,0.034995695272904914,0.9999999999651844,0.48446976635939126,7,"UBB,YWHAZ,PSMB7,PSMD8,PSMA7",Negative Regulation Of NOTCH4 Signaling R-HSA-9604323
Regulation Of PTEN Stability And Activity R-HSA-8948751,-0.6816879559157561,-2.1083475549986668,0.03500093731128118,0.9999999999653121,0.48446976635939126,7,"UBB,CSNK2B,PSMB7,PSMD8,PSMA7",Regulation Of PTEN Stability And Activity R-HSA-8948751
GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,-0.6815984269255589,-2.1079153318675816,0.03503831378811251,0.9999999999662085,0.48446976635939126,7,"UBB,PSMB7,PSMD8,GSK3B,PSMA7",GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114
SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113,-0.6815236308737295,-2.107554226652748,0.035069566466656266,0.9999999999669403,0.48446976635939126,7,"CDC20,UBB,PSMB7,PSMD8,PSMA7",SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113
Degradation Of AXIN R-HSA-4641257,-0.6815066947402294,-2.1074724601613064,0.03507664643843467,0.9999999999671039,0.48446976635939126,7,"UBB,PSMB7,PSMD8,SMURF2,PSMA7",Degradation Of AXIN R-HSA-4641257
Asymmetric Localization Of PCP Proteins R-HSA-4608870,-0.6815066947402294,-2.1074724601613064,0.03507664643843467,0.9999999999671039,0.48446976635939126,7,"UBB,PSMB7,PSMD8,SMURF2,PSMA7",Asymmetric Localization Of PCP Proteins R-HSA-4608870
FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,-0.6813904898734203,-2.1069114197717873,0.03512525854737647,0.9999999999682053,0.48446976635939126,7,"UBB,PSMB7,AURKA,PSMD8,PSMA7",FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050
HIV Life Cycle R-HSA-162587,-0.4147911789466464,-2.1009210556725764,0.035647896763140396,0.9999999999779562,0.48446976635939126,22,"HMGA1,UBB,RANBP1,POLR2F,FURIN,POLR2J,POLR2I,SSRP1,POLR2D,PPIA,TAF10,RAN",HIV Life Cycle R-HSA-162587
Non-integrin membrane-ECM Interactions R-HSA-3000171,0.6729032636541479,2.098647762907669,0.0358479626437469,0.999999999980841,0.48446976635939126,8,"SDC1,SDC3",Non-integrin membrane-ECM Interactions R-HSA-3000171
Syndecan Interactions R-HSA-3000170,0.7252222358113407,2.0960494380589187,0.03607780559496865,0.9999999999836928,0.48446976635939126,7,"SDC1,SDC3",Syndecan Interactions R-HSA-3000170
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,-0.5520844576848543,-2.0934071595787462,0.03631282385057277,0.9999999999861711,0.48446976635939126,12,"CKS1B,UBB,PSMB7,TFDP1,PSMD8,CDC25B,CCND1,PSMA7",Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656
TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,-0.6235456289018182,-2.0909380763110335,0.03653361529986654,0.9999999999881555,0.48446976635939126,8,"UBB,UBE2M,PSMB7,PSMD8,TNFRSF12A,PSMA7",TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541
M Phase R-HSA-68886,-0.29408578956313014,-2.0907527481086956,0.03655023385255762,0.9999999999882927,0.48446976635939126,69,"CEP41,MZT1,AURKB,UBE2C,CENPN,NUDC,YWHAG,PSMA7,CDC20,UBB,SPC25,CTDNEP1,CSNK2B,UBE2S,CDCA8,CDCA5,SSNA1,CENPF,ESPL1,TUBA1C,UBE2I,CENPM,TUBB4B,PSMB7,TUBA1B,PLK1,PSMD8,RAB1B,TUBB,NCAPD2,DYNLL1,RAN,ZWINT,RCC2,PPP2CB,TMPO,KPNB1,KIF2C,MZT2A,BIRC5,TUBG1,MZT2B",M Phase R-HSA-68886
Cellular Response To Chemical Stress R-HSA-9711123,-0.4461459789420067,-2.0740906816326388,0.038070889835886135,0.9999999999959754,0.49492156786651975,19,"UBB,CSNK2B,MAFG,HM13,COX8A,COX20,PSMB7,ATOX1,GSK3B,PSMD8,GPX1,PSMA7",Cellular Response To Chemical Stress R-HSA-9711123
SUMOylation Of DNA Replication Proteins R-HSA-4615885,-0.5553868809959233,-2.0453345060875696,0.04082189103477152,0.9999999999994194,0.5206716667831235,10,"TOP2A,AURKB,SUMO2,TOP1,CDCA8,AURKA,BIRC5,UBE2I",SUMOylation Of DNA Replication Proteins R-HSA-4615885
Cyclin D Associated Events In G1 R-HSA-69231,-0.5508819564545144,-2.0203441484149094,0.04334770240581198,0.9999999999999023,0.542649015302387,10,"CKS1B,UBB,CCND3,CDKN2D,TFDP1,CCND1,PPP2CB",Cyclin D Associated Events In G1 R-HSA-69231
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,-0.5367441016188091,-2.0091768806620327,0.044518378634933686,0.9999999999999574,0.5471713446766395,12,"CDC20,UBB,UBE2C,PSMB7,UBE2S,PSMD8,PSMA7",APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154
MAPK1/MAPK3 Signaling R-HSA-5684996,-0.40532075670653683,-1.982122171362806,0.04746556864435347,0.9999999999999947,0.5729772214925526,27,"UBB,DUSP6,ITGB3,TGFA,BCL2L1,PSMB7,CDK1,RASA3,PSMD8,SHC1,CALM1,ABHD17C,PPP2CB,DUSP4,SPRED2,ABHD17A,PSMA7",MAPK1/MAPK3 Signaling R-HSA-5684996
Cyclin E Associated Events During G1/S Transition R-HSA-69202,-0.5321865662205528,-1.9555708910393612,0.050515724744822244,0.9999999999999994,0.5831298773841734,11,"CKS1B,UBB,PSMB7,TFDP1,PSMD8,CCND1,PSMA7",Cyclin E Associated Events During G1/S Transition R-HSA-69202
Intrinsic Pathway For Apoptosis R-HSA-109606,-0.5446847641463349,-1.9479636873064228,0.05141930829784802,0.9999999999999997,0.5831298773841734,9,"YWHAZ,BCL2L1,TFDP1,YWHAG,DYNLL1",Intrinsic Pathway For Apoptosis R-HSA-109606
Translation Of Structural Proteins R-HSA-9683701,-0.7012790730249367,-1.9424628948898652,0.052081087666114634,0.9999999999999998,0.5831298773841734,6,"GSK3B,UBB,GANAB,UBE2I",Translation Of Structural Proteins R-HSA-9683701
PPARA Activates Gene Expression R-HSA-1989781,-0.7260962703667483,-1.9301924456727257,0.053582997229887575,0.9999999999999999,0.5831298773841734,5,"NPAS2,FHL2,ANGPTL4,ALAS1",PPARA Activates Gene Expression R-HSA-1989781
Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,0.69179587373874,1.9224517779109207,0.05454893577341702,1.0,0.5831298773841734,7,"SDC1,CHST11,CHPF,SDC3,CHSY1",Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185
Late Phase Of HIV Life Cycle R-HSA-162599,-0.39652191459391345,-1.913474416319529,0.05568734565826716,1.0,0.5831298773841734,21,"UBB,RANBP1,POLR2F,FURIN,POLR2J,POLR2I,SSRP1,POLR2D,PPIA,TAF10,RAN",Late Phase Of HIV Life Cycle R-HSA-162599
Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,-0.6359769663294021,-1.8863337913376343,0.059249988420624344,1.0,0.5831298773841734,7,"CHEK1,UBB,PSMB7,PSMD8,PSMA7",Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601
G1/S DNA Damage Checkpoints R-HSA-69615,-0.6359769663294021,-1.8863337913376343,0.059249988420624344,1.0,0.5831298773841734,7,"CHEK1,UBB,PSMB7,PSMD8,PSMA7",G1/S DNA Damage Checkpoints R-HSA-69615
PCP/CE Pathway R-HSA-4086400,-0.5110265042570963,-1.8676276642564231,0.061813987622378,1.0,0.5831298773841734,12,"UBB,AP2S1,PFN1,PSMB7,PSMD8,SMURF2,PSMA7",PCP/CE Pathway R-HSA-4086400
Chromosome Maintenance R-HSA-73886,-0.3965510720092883,-1.8483136777032585,0.06455697819898165,1.0,0.5831298773841734,20,"CENPM,POLR2F,RFC2,CENPN,HJURP,POLR2I,RPA3,POLR2D,NOP10,POLR2J,NHP2,CENPW",Chromosome Maintenance R-HSA-73886
Centrosome Maturation R-HSA-380287,-0.45103851464107014,-1.8450436609436531,0.06503118762752336,1.0,0.5831298773841734,16,"MZT1,TUBB4B,MZT2A,SSNA1,PLK1,YWHAG,DYNLL1,TUBB,TUBG1,MZT2B",Centrosome Maturation R-HSA-380287
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,-0.45103851464107014,-1.8450436609436531,0.06503118762752336,1.0,0.5831298773841734,16,"MZT1,TUBB4B,MZT2A,SSNA1,PLK1,YWHAG,DYNLL1,TUBB,TUBG1,MZT2B",Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,-0.42154239690742834,-1.8375895881454505,0.06612290419818612,1.0,0.5831298773841734,18,"TOP2A,AURKB,DNMT1,SUMO2,TOP1,CDCA8,AURKA,CTBP1,BIRC5,VDR,PHC2,UBE2I",SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232
SUMOylation R-HSA-2990846,-0.42154239690742834,-1.8375895881454505,0.06612290419818612,1.0,0.5831298773841734,18,"TOP2A,AURKB,DNMT1,SUMO2,TOP1,CDCA8,AURKA,CTBP1,BIRC5,VDR,PHC2,UBE2I",SUMOylation R-HSA-2990846
Vpu Mediated Degradation Of CD4 R-HSA-180534,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Vpu Mediated Degradation Of CD4 R-HSA-180534
Stabilization Of P53 R-HSA-69541,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Stabilization Of P53 R-HSA-69541
Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425
Regulation Of Apoptosis R-HSA-169911,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Regulation Of Apoptosis R-HSA-169911
Degradation Of DVL R-HSA-4641258,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Degradation Of DVL R-HSA-4641258
Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Defective CFTR Causes Cystic Fibrosis R-HSA-5678895
p53-Dependent G1 DNA Damage Response R-HSA-69563,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",p53-Dependent G1 DNA Damage Response R-HSA-69563
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408
Vif-mediated Degradation Of APOBEC3G R-HSA-180585,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Vif-mediated Degradation Of APOBEC3G R-HSA-180585
Activation Of NF-kappaB In B Cells R-HSA-1169091,-0.6701466047659688,-1.7996261771981572,0.07191968482668187,1.0,0.5831298773841734,6,"PSMD8,UBB,PSMB7,PSMA7",Activation Of NF-kappaB In B Cells R-HSA-1169091
Late SARS-CoV-2 Infection Events R-HSA-9772573,-0.5671561121444727,-1.7974633716672401,0.0722620880112339,1.0,0.5831298773841734,8,"UBB,GSK3B,MGAT4B,GANAB,UBE2I",Late SARS-CoV-2 Infection Events R-HSA-9772573
NIK To Noncanonical NF-kB Signaling R-HSA-5676590,-0.6158238005544067,-1.7878107737693014,0.07380654208070325,1.0,0.5831298773841734,7,"UBB,UBE2M,PSMB7,PSMD8,PSMA7",NIK To Noncanonical NF-kB Signaling R-HSA-5676590
Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761,-0.6158238005544067,-1.7878107737693014,0.07380654208070325,1.0,0.5831298773841734,7,"UBB,UBE2M,PSMB7,PSMD8,PSMA7",Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761
Signaling By WNT R-HSA-195721,-0.36348349341204406,-1.7830175885495083,0.07458344024933017,1.0,0.5831298773841734,30,"GNG5,PFN1,CTNNBIP1,SMURF2,PSMA7,UBB,CSNK2B,GNG4,AP2S1,CTBP1,LEF1,YWHAZ,PSMB7,GSK3B,PSMD8,PPP2CB,GNB1,ITPR3,CALM1",Signaling By WNT R-HSA-195721
