,Unnamed: 0,from,to,source,database
6055,6056,CALM1,HMMR,ppi_lr,ppi_prediction
6060,6061,CALM1,RPSA,ppi_lr,ppi_prediction
6061,6062,LTB,TNFRSF1A,ppi_lr,ppi_prediction
6112,6113,NMB,F2RL2,ppi_lr,ppi_prediction
6149,6150,CXCL10,CXCR6,ppi_lr,ppi_prediction
6201,6202,CXCL10,GALR2,ppi_lr,ppi_prediction
6356,6357,ADM,RAMP1,ppi_lr,ppi_prediction
6382,6383,TNF,PLXNA2,ppi_lr,ppi_prediction
6460,6461,HSP90B1,LDLR,ppi_lr,ppi_prediction
6475,6476,HSP90B1,NTRK1,ppi_lr,ppi_prediction
6493,6494,ADAM17,NGFR,ppi_lr,ppi_prediction
6496,6497,CALR,ITGA5,ppi_lr,ppi_prediction
6526,6527,HSP90B1,KIT,ppi_lr,ppi_prediction
6538,6539,ADM,TSHR,ppi_lr,ppi_prediction
6548,6549,ADAM17,TNFRSF1A,ppi_lr,ppi_prediction
6549,6550,ADAM17,TNFRSF1B,ppi_lr,ppi_prediction
6582,6583,EFNB2,EPHA1,ppi_lr,ppi_prediction
6606,6607,HBEGF,ERBB3,ppi_lr,ppi_prediction
6632,6633,ADM,HRH2,ppi_lr,ppi_prediction
7058,7059,ADM,VIPR1,ppi_lr,ppi_prediction
7238,7239,EFNB2,FLT4,ppi_lr,ppi_prediction
7736,7737,TNFSF13B,TRAF2,ppi_lr,ppi_prediction
7900,7901,AREG,ICAM1,ppi_l_bidir,ppi_prediction
7901,7902,EFNB2,CD99,ppi_l_bidir,ppi_prediction
7945,7946,CD24,L1CAM,ppi_l_bidir,ppi_prediction
7948,7949,CD86,CD80,ppi_l_bidir,ppi_prediction
7967,7968,EFNB2,PECAM1,ppi_l_bidir,ppi_prediction
7974,7975,HSP90B1,ITGB1,ppi_l_bidir,ppi_prediction
7979,7980,LTB,ITGB1,ppi_l_bidir,ppi_prediction
7980,7981,TNFSF13B,ITGB1,ppi_l_bidir,ppi_prediction
7989,7990,TNFSF9,ICAM2,ppi_l_bidir,ppi_prediction
8000,8001,PTPRC,EPOR,ppi_bidir_r,ppi_prediction
8002,8003,PTPRC,INSR,ppi_bidir_r,ppi_prediction
8004,8005,PTPRC,LEPR,ppi_bidir_r,ppi_prediction
8005,8006,PTPRC,ERBB2,ppi_bidir_r,ppi_prediction
8008,8009,PTPRC,CXCR4,ppi_bidir_r,ppi_prediction
8024,8025,ITGB1,CSF2RB,ppi_bidir_r,ppi_prediction
8026,8027,ITGB1,ITGA5,ppi_bidir_r,ppi_prediction
8027,8028,ITGB1,DAG1,ppi_bidir_r,ppi_prediction
8028,8029,ITGB1,IGF1R,ppi_bidir_r,ppi_prediction
8029,8030,ITGB1,ITGA3,ppi_bidir_r,ppi_prediction
8031,8032,ITGB1,PLAUR,ppi_bidir_r,ppi_prediction
8032,8033,ITGB1,CD47,ppi_bidir_r,ppi_prediction
8033,8034,ITGB1,FLT4,ppi_bidir_r,ppi_prediction
8034,8035,ITGB1,ITGAV,ppi_bidir_r,ppi_prediction
8035,8036,ITGB1,ITGA6,ppi_bidir_r,ppi_prediction
8036,8037,ITGB1,CD151,ppi_bidir_r,ppi_prediction
8037,8038,ITGB1,ITGA2,ppi_bidir_r,ppi_prediction
8038,8039,ITGB1,ITGA1,ppi_bidir_r,ppi_prediction
8045,8046,PTPRC,IFNAR1,ppi_bidir_r,ppi_prediction
8047,8048,ITGAM,PLAUR,ppi_bidir_r,ppi_prediction
8051,8052,ITGA4,CXCR4,ppi_bidir_r,ppi_prediction
8053,8054,ITGA4,CD44,ppi_bidir_r,ppi_prediction
8070,8071,ITGB1,IGF2R,ppi_bidir_r,ppi_prediction
8071,8072,ITGB1,SDC1,ppi_bidir_r,ppi_prediction
8072,8073,ITGB1,ITGAX,ppi_bidir_r,ppi_prediction
8074,8075,ITGB1,PTCH1,ppi_bidir_r,ppi_prediction
8076,8077,ITGB1,NCSTN,ppi_bidir_r,ppi_prediction
8077,8078,ITGB1,PTCH2,ppi_bidir_r,ppi_prediction
8086,8087,ITGA4,PTCH1,ppi_bidir_r,ppi_prediction
8102,8103,PTPRC,CD4,ppi_bidir_r,ppi_prediction
8105,8106,PTPRC,CD44,ppi_bidir_r,ppi_prediction
8116,8117,ITGB1,ITGA10,ppi_bidir_r,ppi_prediction
8121,8122,PTPRC,NTRK1,ppi_bidir_r,ppi_prediction
8143,8144,CD80,NGFR,ppi_bidir_r,ppi_prediction
8147,8148,PTPRC,CD8A,ppi_bidir_r,ppi_prediction
8149,8150,JAM3,ITGAX,ppi_bidir_r,ppi_prediction
8150,8151,JAM3,F2RL2,ppi_bidir_r,ppi_prediction
8154,8155,ITGB1,FZD6,ppi_bidir_r,ppi_prediction
8159,8160,ITGA4,TFRC,ppi_bidir_r,ppi_prediction
8161,8162,ITGB1,NTRK1,ppi_bidir_r,ppi_prediction
8164,8165,ALCAM,NTRK1,ppi_bidir_r,ppi_prediction
8165,8166,GLG1,NTRK1,ppi_bidir_r,ppi_prediction
8171,8172,ITGA4,RPSA,ppi_bidir_r,ppi_prediction
8182,8183,PTPRC,CD2,ppi_bidir_bidir,ppi_prediction
8183,8184,PTPRC,CD28,ppi_bidir_bidir,ppi_prediction
8187,8188,ITGB1,ITGA4,ppi_bidir_bidir,ppi_prediction
8196,8197,ITGAM,JAM3,ppi_bidir_bidir,ppi_prediction
8197,8198,ITGAM,ICAM2,ppi_bidir_bidir,ppi_prediction
8198,8199,ITGA4,ITGB7,ppi_bidir_bidir,ppi_prediction
8204,8205,ITGA4,MADCAM1,ppi_bidir_bidir,ppi_prediction
8208,8209,PTPRC,ITGAL,ppi_bidir_bidir,ppi_prediction
8219,8220,ITGB1,L1CAM,ppi_bidir_bidir,ppi_prediction
8221,8222,ITGB1,JAM3,ppi_bidir_bidir,ppi_prediction
8225,8226,ITGA4,JAM3,ppi_bidir_bidir,ppi_prediction
8245,8246,TNF,RACK1,ppi_lr_go,ppi_prediction_go
8318,8319,GRN,TNFRSF1A,ppi_lr_go,ppi_prediction_go
8355,8356,TNF,CALM1,ppi_lr_go,ppi_prediction_go
8388,8389,GRN,SORT1,ppi_lr_go,ppi_prediction_go
9601,9602,TNF,RASA3,ppi_lr_go,ppi_prediction_go
9603,9604,IFNG,PTPN6,ppi_lr_go,ppi_prediction_go
9720,9721,CXCL10,ADRA2B,ppi_lr_go,ppi_prediction_go
9722,9723,CXCL10,S1PR1,ppi_lr_go,ppi_prediction_go
9740,9741,CXCL10,GPR18,ppi_lr_go,ppi_prediction_go
9751,9752,CXCL10,LPAR5,ppi_lr_go,ppi_prediction_go
9752,9753,CXCL10,S1PR5,ppi_lr_go,ppi_prediction_go
9755,9756,CXCL10,TAS2R14,ppi_lr_go,ppi_prediction_go
9762,9763,CXCL10,GABBR1,ppi_lr_go,ppi_prediction_go
9763,9764,CXCL10,LPAR3,ppi_lr_go,ppi_prediction_go
9764,9765,CXCL10,GPR55,ppi_lr_go,ppi_prediction_go
9910,9911,NMB,PTAFR,ppi_lr_go,ppi_prediction_go
9918,9919,NMB,LPAR6,ppi_lr_go,ppi_prediction_go
9921,9922,NMB,DLG4,ppi_lr_go,ppi_prediction_go
9925,9926,NMB,LTB4R,ppi_lr_go,ppi_prediction_go
9926,9927,NMB,GPR68,ppi_lr_go,ppi_prediction_go
9928,9929,NMB,GPR65,ppi_lr_go,ppi_prediction_go
9929,9930,NMB,LPAR5,ppi_lr_go,ppi_prediction_go
9930,9931,NMB,LTB4R2,ppi_lr_go,ppi_prediction_go
9931,9932,NMB,CYSLTR2,ppi_lr_go,ppi_prediction_go
9932,9933,NMB,LPAR3,ppi_lr_go,ppi_prediction_go
9934,9935,NMB,GPR132,ppi_lr_go,ppi_prediction_go
9935,9936,NMB,CYSLTR1,ppi_lr_go,ppi_prediction_go
10553,10554,ADM,PTGER4,ppi_lr_go,ppi_prediction_go
10554,10555,ADM,PTGER2,ppi_lr_go,ppi_prediction_go
10555,10556,ADM,PTGIR,ppi_lr_go,ppi_prediction_go
10556,10557,ADM,GPR15,ppi_lr_go,ppi_prediction_go
10557,10558,ADM,PTGDR,ppi_lr_go,ppi_prediction_go
10559,10560,ADM,GPR150,ppi_lr_go,ppi_prediction_go
10611,10612,NAMPT,CUL5,ppi_lr_go,ppi_prediction_go
10947,10948,NAMPT,ANXA6,ppi_lr_go,ppi_prediction_go
11004,11005,GRN,TNFRSF1B,ppi_lr_go,ppi_prediction_go
11037,11038,NAMPT,ADORA2A,ppi_lr_go,ppi_prediction_go
11058,11059,ADM,GPR25,ppi_lr_go,ppi_prediction_go
11062,11063,TNFSF9,TLR4,ppi_lr_go,ppi_prediction_go
11112,11113,NMB,P2RY10,ppi_lr_go,ppi_prediction_go
11164,11165,NMB,FFAR3,ppi_lr_go,ppi_prediction_go
11255,11256,ADM,RAMP3,ppi_lr_go,ppi_prediction_go
11304,11305,CXCL10,S1PR2,ppi_lr_go,ppi_prediction_go
11335,11336,CXCL10,S1PR4,ppi_lr_go,ppi_prediction_go
11362,11363,GRN,NTRK1,ppi_lr_go,ppi_prediction_go
11364,11365,RABEP1,NTRK1,ppi_lr_go,ppi_prediction_go
11375,11376,ADM,ADRB2,ppi_lr_go,ppi_prediction_go
11664,11665,ADM,ADORA2A,ppi_lr_go,ppi_prediction_go
12012,12013,IL23A,ESR2,ppi_lr_go,ppi_prediction_go
12113,12114,TNF,PIK3CB,ppi_l_bidir_go,ppi_prediction_go
12125,12126,TNF,FAT1,ppi_l_bidir_go,ppi_prediction_go
12126,12127,TNF,CELSR2,ppi_l_bidir_go,ppi_prediction_go
12157,12158,TNFSF10,PIK3CB,ppi_l_bidir_go,ppi_prediction_go
12219,12220,ITGB1,PTK2B,ppi_bidir_r_go,ppi_prediction_go
12224,12225,ITGB1,RACK1,ppi_bidir_r_go,ppi_prediction_go
12225,12226,ITGB1,CD46,ppi_bidir_r_go,ppi_prediction_go
12226,12227,ITGB1,ENG,ppi_bidir_r_go,ppi_prediction_go
12270,12271,ITGB1,DAB2,ppi_bidir_r_go,ppi_prediction_go
12271,12272,ITGB1,SLC1A5,ppi_bidir_r_go,ppi_prediction_go
12362,12363,ITGB1,VTN,ppi_bidir_r_go,ppi_prediction_go
12517,12518,ITGB1,FAT1,ppi_bidir_bidir_go,ppi_prediction_go
12540,12541,HLA-DRA,CD4,kegg_cams,kegg
12581,12582,TNF,ICOS,ppi_lr,ppi_prediction
12586,12587,HLA-DRA,EPHB4,ppi_lr,ppi_prediction
12587,12588,HLA-DRA,PDCD1,ppi_lr,ppi_prediction
12588,12589,HLA-DRA,SCARB1,ppi_lr,ppi_prediction
12589,12590,HLA-DRA,PLXNA1,ppi_lr,ppi_prediction
12626,12627,HLA-DRA,PTPRC,ppi_l_bidir,ppi_prediction
12627,12628,HLA-DRA,CD274,ppi_l_bidir,ppi_prediction
